Content ID,Answer 1,answer_tokenized,Status question,Next Event,Next Data,Version ID,Condition 1 Operator,Condition 1 Property,Condition 1 Value
forward_session_history,"Terima kasih

Have a Healthy Skin Day!","['terima', 'kasih', 'have', 'healthy', 'skin', 'day']",FALSE,,,,,,
handover_talk_to_agent,"Mohon ditunggu, rekan Elsa akan segera membantu.","['tunggu', 'rekan', 'elsa', 'bantu']",FALSE,handover_router,,,,,
handover_end_thank,"Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi *ERHA BUDDY*, silakan download aplikasinya di App store (IOS) dan Google Play (Android).

Informasi promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'download', 'aplikasi', 'app', 'store', 'ios', 'google', 'play', 'android', 'informasi', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",TRUE,startflow,,,,,
handover_ask_email,"Boleh Elsa tahu alamat emailmu?

contoh: erha@erha.co.id

pastikan alamat emailmu sudah benar.","['elsa', 'alamat', 'email', 'contoh', 'erha', 'erha', 'co', 'id', 'alamat', 'email']",FALSE,,,,,,
handover_ask_email_reject,"Maaf, Elsa tidak mengerti jawaban anda.","['maaf', 'elsa', 'erti']",FALSE,goto,handover_ask_email,,,,
core_bot_rating_thank,"Terimakasih atas penilaiannya, feedbackmu sangat berarti untuk peningkatan pelayanan Elsa.","['terimakasih', 'nilai', 'feedbackmu', 'tingkat', 'layan', 'elsa']",FALSE,,,,,,
core_bot_rating_comments,Apakah Anda punya komentar lain untuk Elsa?,"['komentar', 'elsa']",FALSE,,,,,,
inactive_fallback,"Hi, karena sudah tidak ada lagi response/tanggapan maka percakapan ini akan Elsa akhiri, senang bisa membantu. Silakan menghubungi kembali jika ingin mendapatkan informasi lainnya. 

Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi *ERHA BUDDY*, silakan klik link berikut untuk download aplikasinya https://bit.ly/ERHABUDDY

Terima kasih sudah menghubungi ERHA, info promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['hi', 'response', 'tanggap', 'cakap', 'elsa', 'senang', 'bantu', 'sila', 'hubung', 'informasi', 'mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'klik', 'link', 'download', 'aplikasi', 'https', 'bit', 'ly', 'erhabuddy', 'terima', 'kasih', 'hubung', 'erha', 'info', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",TRUE,,,,,,
inactive_fallback_livechat,Elsa belum menerima respons darimu. Silakan ketik *MENU* untuk kembali ke menu utama.,"['elsa', 'terima', 'respons', 'sila', 'ketik', 'menu', 'menu', 'utama']",FALSE,,,,,,
inactive_agent_fallback,"Mohon menunggu dan harap bersabar, rekan Elsa akan segera menghubungi Anda.","['tunggu', 'harap', 'sabar', 'rekan', 'elsa', 'hubung']",FALSE,,,,,,
conversation_start,"Hai, Apa yang bisa Elsa bantu?
balas dengan ketik pilihan di bawah ini.
1️⃣ Informasi klinik
2️⃣ Informasi produk
3️⃣ Informasi treatment
4️⃣ Jadwal dokter
5️⃣ Appointment
6️⃣ Delivery
7️⃣ Konsultasi online
8️⃣ Promo
9️⃣ Komplain
🔟 Home Service & Drivethru
0️⃣ Chat dengan agen","['elsa', 'bantu', 'balas', 'ketik', 'pilih', 'informasi', 'klinik', 'informasi', 'produk', 'informasi', 'treatment', 'jadwal', 'dokter', 'appointment', 'delivery', 'konsultasi', 'online', 'promo', 'komplain', 'home', 'service', 'drivethru', 'chat', 'agen']",TRUE,,,1,#ERROR!,source,line
conversation_start,"Hai ${name}.

Apa yang bisa Elsa bantu?
balas dengan ketik pilihan di bawah ini.
1️⃣ Informasi klinik
2️⃣ Informasi produk
3️⃣ Informasi treatment
4️⃣ Jadwal dokter
5️⃣ Appointment
6️⃣ Delivery
7️⃣ Konsultasi online
8️⃣ Promo
9️⃣ Komplain
🔟 Home Service & Drivethru
0️⃣ Chat dengan agen","['name', 'elsa', 'bantu', 'balas', 'ketik', 'pilih', 'informasi', 'klinik', 'informasi', 'produk', 'informasi', 'treatment', 'jadwal', 'dokter', 'appointment', 'delivery', 'konsultasi', 'online', 'promo', 'komplain', 'home', 'service', 'drivethru', 'chat', 'agen']",TRUE,,,whatsapp,EXISTS,user_details,
handover_ask_email (notused),mohon Bisa Elsa tahu email Anda?,"['elsa', 'email']",FALSE,,,,,,
handover_keluhan,"Mohon maaf atas ketidaknyamanannya, rekan Elsa akan segera melayanimu.","['maaf', 'ketidaknyamanannya', 'rekan', 'elsa', 'layan']",FALSE,goto,handover_livechat_start,,,,
handover_livechat_offline_keluhan,"Mohon maaf saat ini rekan Elsa sedang melayani customer lain.
Kami butuh alamat emailmu agar rekan Elsa dapat menghubungimu.

contoh: erha@erha.co.id

pastikan alamat emailmu sudah benar ya, atau ketik *menu* untuk kembali ke menu utama.","['maaf', 'rekan', 'elsa', 'layan', 'customer', 'butuh', 'alamat', 'email', 'rekan', 'elsa', 'hubung', 'contoh', 'erha', 'erha', 'co', 'id', 'alamat', 'email', 'ketik', 'menu', 'menu', 'utama']",FALSE,,,,,,
inactive_user_webchat,"Hi, karena sudah tidak ada lagi response/tanggapan maka percakapan ini akan diakhiri, senang bisa membantu. Silakan menghubungi kembali jika ingin mendapatkan informasi lainnya. 

Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi ERHA BUDDY, silakan download aplikasinya di App store (IOS) dan Google Play (Android).

Terima kasih sudah menghubungi ERHA, info promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['hi', 'response', 'tanggap', 'cakap', 'senang', 'bantu', 'sila', 'hubung', 'informasi', 'mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'download', 'aplikasi', 'app', 'store', 'ios', 'google', 'play', 'android', 'terima', 'kasih', 'hubung', 'erha', 'info', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",TRUE,,,,,,
inactive_user_webchat,"Hi, karena sudah tidak ada lagi response/tanggapan maka percakapan ini akan Elsa akhiri, senang bisa membantu. Silakan menghubungi kembali jika ingin mendapatkan informasi lainnya. 

Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi *ERHA BUDDY*, silakan download aplikasinya di App store (IOS) dan Google Play (Android).

Terima kasih sudah menghubungi ERHA, info promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['hi', 'response', 'tanggap', 'cakap', 'elsa', 'senang', 'bantu', 'sila', 'hubung', 'informasi', 'mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'download', 'aplikasi', 'app', 'store', 'ios', 'google', 'play', 'android', 'terima', 'kasih', 'hubung', 'erha', 'info', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",TRUE,,,line,#ERROR!,source,line
inactive_user_webchat,"Hi ${name}, karena sudah tidak ada lagi response/tanggapan maka percakapan ini akan Elsa akhiri, senang bisa membantu. Silakan menghubungi kembali jika ingin mendapatkan informasi lainnya. 

Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi *ERHA BUDDY*, silakan download aplikasinya di App store (IOS) dan Google Play (Android).

Terima kasih sudah menghubungi ERHA, info promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['hi', 'name', 'response', 'tanggap', 'cakap', 'elsa', 'senang', 'bantu', 'sila', 'hubung', 'informasi', 'mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'download', 'aplikasi', 'app', 'store', 'ios', 'google', 'play', 'android', 'terima', 'kasih', 'hubung', 'erha', 'info', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",FALSE,,,whatsapp,INCLUDES,source,whatsapp
appointment_end,"Terima kasih, appointmentmu sedang Elsa daftarkan.

rekan Elsa akan segera menghubungimu kembali untuk konfirmasi appointment.","['terima', 'kasih', 'appointmentmu', 'elsa', 'daftar', 'rekan', 'elsa', 'hubung', 'konfirmasi', 'appointment']",FALSE,goto,handover_livechat_start,,,,
delivery_information,"Terimakasih atas informasinya, saat ini layanan delivery ERHA menggunakan jasa pengiriman sebagai berikut:

• ANTERAJA sameday (Pengiriman khusus DKI Jakarta) biaya kirim flat Rp 15.000 estimasi sampai 1 -2 hari.
• GRABSEND (Pengiriman khusus DKI Jakarta) biaya kirim disesuaikan dan estimasi sampai 1 hari
• ANTERAJA REGULER / NEXTDAY (Pengiriman di luar Jakarta) biaya kirim dan estimasi sampai disesuaikan.

Pesanan akan dikirimkan dari Delivery Point yang terletak di Jakarta Barat

Untuk pemesanan kali ini, mau ELSA bantu untuk dikirim pakai jasa pengiriman apa?","['terimakasih', 'informasi', 'layan', 'delivery', 'erha', 'jasa', 'kirim', 'anteraja', 'sameday', 'kirim', 'dki', 'jakarta', 'biaya', 'kirim', 'flat', 'rp', 'estimasi', 'grabsend', 'kirim', 'dki', 'jakarta', 'biaya', 'kirim', 'sesuai', 'estimasi', 'anteraja', 'reguler', 'nextday', 'kirim', 'jakarta', 'biaya', 'kirim', 'estimasi', 'sesuai', 'pesan', 'kirim', 'delivery', 'point', 'letak', 'jakarta', 'barat', 'mesan', 'elsa', 'bantu', 'kirim', 'pakai', 'jasa', 'kirim']",TRUE,,,,,,
delivery_end,"Terima kasih pesananmu sedang Elsa proses.
 
Rekan Elsa akan segera menghubungimu kembali untuk konfirmasi pesanan.","['terima', 'kasih', 'pesan', 'elsa', 'proses', 'rekan', 'elsa', 'hubung', 'konfirmasi', 'pesan']",FALSE,goto,handover_livechat_start,,,,
delivery_turnover,Kakak dapat memilih kurir & durasi pengiriman sendiri pada halaman konfirmasi pengiriman.,"['kakak', 'pilih', 'kurir', 'durasi', 'kirim', 'halaman', 'konfirmasi', 'kirim']",FALSE,,,,,,
complain_issue,Komplain,['komplain'],FALSE,,,,,,
greeting_end,"Dapatkan kemudahan dalam konsultasi dengan dokter, appointment, pembelian produk resep dan skincare ERHA melalui Aplikasi *ERHA BUDDY*, silakan download aplikasinya di App store (IOS) dan Google Play (Android).

Terima kasih sudah menghubungi ERHA, info promo menarik Erha kunjungi https://linktr.ee/PromoErha

Have a Healthy Skin Day.
www.erhaultimate.co.id","['mudah', 'konsultasi', 'dokter', 'appointment', 'beli', 'produk', 'resep', 'skincare', 'erha', 'aplikasi', 'erha', 'buddy', 'sila', 'download', 'aplikasi', 'app', 'store', 'ios', 'google', 'play', 'android', 'terima', 'kasih', 'hubung', 'erha', 'info', 'promo', 'tarik', 'erha', 'kunjung', 'https', 'linktr', 'ee', 'promoerha', 'have', 'healthy', 'skin', 'day', 'www', 'erhaultimate', 'co', 'id']",TRUE,,,,,,
restock_when,Harap tunggu sementara kami menghubungkan anda ke rekan kami,"['harap', 'tunggu', 'hubung', 'rekan']",FALSE,goto,handover_router,,,,
payment_method,"Pembayaran dilakukan dengan link pembayaran yang akan kami kirimkan. 

Kakak dapat memilih langsung metode pembayaran yang diinginkan: Bank transfer, Credit Card atau OVO.","['bayar', 'link', 'bayar', 'kirim', 'kakak', 'pilih', 'metode', 'bayar', 'bank', 'transfer', 'credit', 'card', 'ovo']",FALSE,,,,,,
clinic_start,"Baik, sebelumnya mohon diinfokan nama lengkap dan No HP yang bisa Elsa hubungi ya

Contoh: Elsa/0811 2121 2121","['info', 'nama', 'lengkap', 'no', 'hp', 'elsa', 'hubung', 'contoh', 'elsa']",FALSE,,,,INCLUDES,source,whatsapp
clinic_information,"Berikut informasi mengenai klinik ${data.clinic_name}

Alamat: 
${data.alamat_1} 
${data.alamat_2} 
${data.alamat_3} 

Jam Operasional: ${data.operational_hours} 

No Telp / WA: ${data.no_telp_1} 

Lokasi: ${data.locationdescription}

Info lengkap lokasi ERHA juga bisa dilihat di https://erha.co.id/findus","['informasi', 'klinik', 'data', 'clinic', 'name', 'alamat', 'data', 'alamat', 'data', 'alamat', 'data', 'alamat', 'jam', 'operasional', 'data', 'operational', 'hours', 'no', 'telp', 'wa', 'data', 'no', 'telp', 'lokasi', 'data', 'locationdescription', 'info', 'lengkap', 'lokasi', 'erha', 'https', 'erha', 'co', 'id', 'findus']",FALSE,goto,clinic_information bypass,,,,
clinic_information,"Elsa tidak menemukan klinik ERHA yang anda maksud. Apakah ingin mencari klinik ERHA lain? Tolong sebutkan nama klinik atau daerah yang ingin dikunjungi.

ketik "" *MENU* "" untuk kembali ke menu utama.","['elsa', 'temu', 'klinik', 'erha', 'cari', 'klinik', 'erha', 'tolong', 'nama', 'klinik', 'daerah', 'kunjung', 'ketik', 'menu', 'menu', 'utama']",FALSE,goto,clinic_name,empty,,,
clinic_name,"Hi ${name}, tolong sebutkan nama klinik atau daerah yang ingin dikunjungi.

Contoh: 
Lippo Mall atau 
DKI Jakarta atau
Jakarta Barat","['hi', 'name', 'tolong', 'nama', 'klinik', 'daerah', 'kunjung', 'contoh', 'lippo', 'mall', 'dki', 'jakarta', 'jakarta', 'barat']",FALSE,,,,,,
clinic_province,ERHA memiliki banyak klinik di Indonesia. Boleh Elsa tahu provinsi mana yang akan dikunjungi?,"['erha', 'milik', 'klinik', 'indonesia', 'elsa', 'provinsi', 'kunjung']",FALSE,,,,,,
clinic_city,"Terima kasih.

Boleh Elsa tahu kota mana yang akan dikunjungi?","['terima', 'kasih', 'elsa', 'kota', 'kunjung']",FALSE,,,,,,
clinic_category,"Boleh ELSA tahu kategori yang Anda mau kunjungi?

1. Mall
2. Klinik and centre
3. Others","['elsa', 'kategori', 'kunjung', 'mall', 'klinik', 'and', 'centre', 'others']",FALSE,,,,,,
product_details_or_price,Informasi mengenai produk apakah yang dibutuhkan? Detail Produk atau Harga Produk?,"['informasi', 'produk', 'butuh', 'detail', 'produk', 'harga', 'produk']",FALSE,,,,,,
product_start,"Baik, sebelumnya mohon diinfokan nama lengkap dan No HP yang bisa Elsa hubungi ya
Contoh : Elsa/0811 2121 2121","['info', 'nama', 'lengkap', 'no', 'hp', 'elsa', 'hubung', 'contoh', 'elsa']",FALSE,,,,INCLUDES,source,whatsapp
product_what_information,Informasi detail produk apakah yang dibutuhkan? Produk bebas resep atau dengan resep dokter?,"['informasi', 'detail', 'produk', 'butuh', 'produk', 'bebas', 'resep', 'resep', 'dokter']",FALSE,,,,,,
product_what_information_resep_dokter,"ERHA memiliki produk dengan resep dokter tapi pembeliannya
harus dengan rekomendasi dokter lebih dulu. Kalau Elsa boleh
tahu apakah kamu sudah punya resep dari dokter ERHA?","['erha', 'milik', 'produk', 'resep', 'dokter', 'beli', 'rekomendasi', 'dokter', 'elsa', 'resep', 'dokter', 'erha']",FALSE,,,,,,
product_what_information_resep_dokter_belum,"Jika belum, Elsa sarankan kamu konsultasi dahulu dengan dokter
ERHA supaya bisa dianalisis dan diberi rekomendasi produk sesuai kebutuhan kulitmu. 

Ketik angka 5 ya Elsa akan bantu kamu untuk appointment.","['elsa', 'saran', 'konsultasi', 'dokter', 'erha', 'analis', 'rekomendasi', 'produk', 'sesuai', 'butuh', 'kulit', 'ketik', 'angka', 'elsa', 'bantu', 'appointment']",FALSE,,,,,,
product_what_information_resep_dokter_sudah,"Informasi produk resep apakah yang
dibutuhkan?","['informasi', 'produk', 'resep', 'butuh']",FALSE,,,,,,
product_escalation,"Rekan Elsa akan segera menghubungi Anda, mohon ditunggu","['rekan', 'elsa', 'hubung', 'tunggu']",FALSE,handover_router,,,,,
product_info,"Berikut Informasi mengenai *Moisturizer ERHA 4* - 15gr

Kegunaan : 
Melembabkan kulit, mencerahkan kulit, membantu mengembalikan kekenyalan kulit

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai toner di pagi hari

Cara Penyimpanan : 
Pada suhu dingin 10-15 C/ 15-20 C dan disimpan di cooler/ kulkas pada bagian pintu.","['informasi', 'moisturizer', 'erha', 'gr', 'melembabkan', 'kulit', 'cerah', 'kulit', 'bantu', 'kenyal', 'kulit', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'toner', 'pagi', 'simpan', 'suhu', 'dingin', 'simpan', 'cooler', 'kulkas', 'pintu']",TRUE,goto,test_produk_bypass,erha4,#ERROR!,entities_last.product_info_synonym,ERHA 4
product_info,"Berikut Informasi mengenai *Erha 5 Evening Moisturizer for Sensitive Skin* 10 g

Kegunaan : 
Moisturizer malam untuk kulit sensitif

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai toner

Cara Penyimpanan : 
Di suhu ruangan yang sejuk

Suhu :
10-15 C/ 15-20 C","['informasi', 'erha', 'evening', 'moisturizer', 'for', 'sensitive', 'skin', 'moisturizer', 'malam', 'kulit', 'sensitif', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'toner', 'simpan', 'suhu', 'ruang', 'sejuk', 'suhu']",TRUE,goto,test_produk_bypass,erha5,#ERROR!,entities_last.product_info_synonym,ERHA 5
product_info,"Berikut Informasi mengenai *Erha 6 Evening Moisturizer* 10 g

Kegunaan : 
Merupakan evening moisturizer pada rejuvenation terapi yang berfungsi untuk melembabkan dan mencerahkan kulit

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai toner atau serum pada malam hari

Cara Penyimpanan : 
Pada suhu ruangan yang sejuk

Suhu :
10-15 C/ 15-20 C","['informasi', 'erha', 'evening', 'moisturizer', 'evening', 'moisturizer', 'rejuvenation', 'terapi', 'fungsi', 'melembabkan', 'cerah', 'kulit', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'toner', 'serum', 'malam', 'simpan', 'suhu', 'ruang', 'sejuk', 'suhu']",TRUE,goto,test_produk_bypass,erha6,#ERROR!,entities_last.product_info_synonym,ERHA 6
product_price,Harga : Rp 75.000,"['harga', 'rp']",TRUE,,,erha4,,,
product_info,"Berikut Informasi mengenai *Erha 7 Foundation* 10 g

Kegunaan : 
Merupakan foundation pada rejuvenation terapi yang berfungsi untuk mencerahkan kulit dan melindungi dari sinar matahari (di dalam ruangan)

Cara Pakai : 
Oleskan pada wajah yang bersih setelah memakai moisturizer pagi atau siang hari

Cara Penyimpanan : 
Pada suhu ruangan yang sejuk

Suhu : 
21 - 25 C","['informasi', 'erha', 'foundation', 'foundation', 'rejuvenation', 'terapi', 'fungsi', 'cerah', 'kulit', 'lindung', 'sinar', 'matahari', 'ruang', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'moisturizer', 'pagi', 'siang', 'simpan', 'suhu', 'ruang', 'sejuk', 'suhu']",TRUE,goto,test_produk_bypass,erha7,#ERROR!,entities_last.product_info_synonym,ERHA 7
product_info,"Berikut Informasi mengenai *Erha 9 Foundation* 10 g

Kegunaan : 
Merupakan krim malam atau krim tidur pada rejuvenation terapi yang berfungsi untuk mengangkat sel kulit mati dan merangsang regnerasi sel kulit wajah.

Cara Pakai :
Oleskan pada wajah yang bersih setelah memakai moisturizer pada malam hari

Cara Penyimpanan : 
Pada suhu dingin atau Disimpan di cooler/ kulkas pada bagian pintu

Suhu :
10-15 C/ 15-20 C","['informasi', 'erha', 'foundation', 'krim', 'malam', 'krim', 'tidur', 'rejuvenation', 'terapi', 'fungsi', 'angkat', 'sel', 'kulit', 'mati', 'rangsang', 'regnerasi', 'sel', 'kulit', 'wajah', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'moisturizer', 'malam', 'simpan', 'suhu', 'dingin', 'simpan', 'cooler', 'kulkas', 'pintu', 'suhu']",TRUE,goto,test_produk_bypass,erha9,#ERROR!,entities_last.product_info_synonym,ERHA 9
treatment_info,"Berikut Informasi mengenai *Corrective Cream 5* - 10 g

Kegunaan : 
Krim malam/ krim tidur pencerah

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai moisturizer. Dapat dipakai secara tunggal (tanpa moisturizer malam)

Cara Penyimpanan : 
Pada suhu dingin atau disimpan di cooler/ kulkas pada bagian pintu

Suhu :
10-15 C/ 15-20 C","['informasi', 'corrective', 'cream', 'krim', 'malam', 'krim', 'tidur', 'cerah', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'moisturizer', 'pakai', 'tunggal', 'moisturizer', 'malam', 'simpan', 'suhu', 'dingin', 'simpan', 'cooler', 'kulkas', 'pintu', 'suhu']",TRUE,goto,test_produk_bypass,cc5,#ERROR!,entities_last.product_info_synonym,Corrective cream 5
product_info,"Berikut Informasi mengenai *Corrective Cream 10* - 10 g

Kegunaan : 
Krim malam/krim tidur pencerah

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai moisturizer
Dapat dipakai secara tunggal (tanpa moisturizer malam)

Cara Penyimpanan : 
Pada suhu dingin atau Disimpan di cooler/kulkas pada bagian pintu

Suhu :
10-15 C/ 15-20 C","['informasi', 'corrective', 'cream', 'krim', 'malam', 'krim', 'tidur', 'cerah', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'moisturizer', 'pakai', 'tunggal', 'moisturizer', 'malam', 'simpan', 'suhu', 'dingin', 'simpan', 'cooler', 'kulkas', 'pintu', 'suhu']",TRUE,goto,test_produk_bypass,cc10,#ERROR!,entities_last.product_info_synonym,Corrective Cream 10
product_info,"Berikut Informasi mengenai *Corrective Cream 50* - 10 g

Kegunaan : 
Krim malam/ krim tidur pencerah

Cara Pakai : 
Dioles pada wajah yang bersih setelah memakai moisturizer. Dapat dipakai secara tunggal (tanpa moisturizer malam)

Cara Penyimpanan : 
Pada suhu dingin atau disimpan di cooler/kulkas pada bagian pintu

Suhu :
10-15 C/ 15-20 C","['informasi', 'corrective', 'cream', 'krim', 'malam', 'krim', 'tidur', 'cerah', 'pakai', 'oles', 'wajah', 'bersih', 'pakai', 'moisturizer', 'pakai', 'tunggal', 'moisturizer', 'malam', 'simpan', 'suhu', 'dingin', 'simpan', 'cooler', 'kulkas', 'pintu', 'suhu']",TRUE,goto,test_produk_bypass,cc50,#ERROR!,entities_last.product_info_synonym,Corrective Cream 50
